spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[12 26 33],30,30,13,46,21,19,8,92,36,38,8,88
[12 26 33 39],30,30,13,46,19,17,8,90,38,40,8,90
[12 26 33 39 47],30,30,13,46,17,15,6,88,40,42,10,92
[12 26 33 47],30,30,13,46,19,17,6,90,38,40,10,90
[12 26 39],30,30,13,46,25,25,12,98,32,32,4,82
[12 26 39 47],30,30,13,46,19,19,6,92,38,38,10,88
[12 26 47],30,30,13,46,21,21,6,94,36,36,10,86
[12 30],30,30,13,46,39,39,9,127,18,18,7,53
[12 30 33],30,30,13,46,37,37,8,125,20,20,8,55
[12 30 33 39],30,30,13,46,26,26,8,114,31,31,8,66
[12 30 33 39 47],30,30,13,46,24,24,6,112,33,33,10,68
[12 30 33 47],30,30,13,46,35,35,6,123,22,22,10,57
[12 30 39],30,30,13,46,28,28,9,116,29,29,7,64
[12 30 39 47],30,30,13,46,25,25,6,113,32,32,10,67
[12 30 47],30,30,13,46,36,36,6,124,21,21,10,56
[12 33],30,30,13,46,39,37,8,128,18,20,8,52
[12 33 39],30,30,13,46,28,26,8,117,29,31,8,63
[12 33 39 47],30,30,13,46,26,24,6,115,31,33,10,65
[12 33 47],30,30,13,46,37,35,6,126,20,22,10,54
[12 39],30,30,13,46,34,34,12,125,23,23,4,55
[12 39 47],30,30,13,46,28,28,6,119,29,29,10,61
[12 47],30,30,13,46,39,39,6,130,18,18,10,50
[16],30,30,13,46,42,42,11,125,15,15,5,55
[16 26],30,30,13,46,24,24,11,89,33,33,5,91
[16 26 30],30,30,13,46,20,20,9,83,37,37,7,97
[16 26 30 33],30,30,13,46,18,18,8,81,39,39,8,99
[16 26 30 33 39],30,30,13,46,16,16,8,79,41,41,8,101
[16 26 30 33 39 47],30,30,13,46,14,14,6,77,43,43,10,103
[16 26 30 33 47],30,30,13,46,16,16,6,79,41,41,10,101
[16 26 30 39],30,30,13,46,18,18,9,81,39,39,7,99
[16 26 30 39 47],30,30,13,46,15,15,6,78,42,42,10,102
[16 26 30 47],30,30,13,46,17,17,6,80,40,40,10,100
[16 26 33],30,30,13,46,19,18,8,83,38,39,8,97
[16 26 33 39],30,30,13,46,17,16,8,81,40,41,8,99
[16 26 33 39 47],30,30,13,46,15,14,6,79,42,43,10,101
[16 26 33 47],30,30,13,46,17,16,6,81,40,41,10,99
[16 26 39],30,30,13,46,22,22,11,87,35,35,5,93
[16 26 39 47],30,30,13,46,17,17,6,82,40,40,10,98
[16 26 47],30,30,13,46,19,19,6,84,38,38,10,96
[16 30],30,30,13,46,38,38,9,119,19,19,7,61
[16 30 33],30,30,13,46,36,36,8,117,21,21,8,63
[16 30 33 39],30,30,13,46,25,25,8,106,32,32,8,74
[16 30 33 39 47],30,30,13,46,23,23,6,104,34,34,10,76
[16 30 33 47],30,30,13,46,34,34,6,115,23,23,10,65
[16 30 39],30,30,13,46,27,27,9,108,30,30,7,72
[16 30 39 47],30,30,13,46,24,24,6,105,33,33,10,75
[16 30 47],30,30,13,46,35,35,6,116,22,22,10,64
[16 33],30,30,13,46,37,36,8,119,20,21,8,61
[16 33 39],30,30,13,46,26,25,8,108,31,32,8,72
[16 33 39 47],30,30,13,46,24,23,6,106,33,34,10,74
[16 33 47],30,30,13,46,35,34,6,117,22,23,10,63
[16 39],30,30,13,46,31,31,11,114,26,26,5,66
[16 39 47],30,30,13,46,26,26,6,109,31,31,10,71
[16 47],30,30,13,46,37,37,6,120,20,20,10,60
[26],30,30,13,46,39,39,16,144,18,18,0,36
[26 30],30,30,13,46,25,25,9,123,32,32,7,57
[26 30 33],30,30,13,46,23,23,8,121,34,34,8,59
[26 30 33 39],30,30,13,46,21,21,8,119,36,36,8,61
[26 30 33 39 47],30,30,13,46,19,19,6,117,38,38,10,63
[26 30 33 47],30,30,13,46,21,21,6,119,36,36,10,61
[26 30 39],30,30,13,46,23,23,9,121,34,34,7,59
[26 30 39 47],30,30,13,46,20,20,6,118,37,37,10,62
[26 30 47],30,30,13,46,22,22,6,120,35,35,10,60
[26 33],30,30,13,46,29,23,8,128,28,34,8,52
[26 33 39],30,30,13,46,27,21,8,126,30,36,8,54
[26 33 39 47],30,30,13,46,25,19,6,124,32,38,10,56
[26 33 47],30,30,13,46,27,21,6,126,30,36,10,54
[26 39],30,30,13,46,37,37,16,142,20,20,0,38
[26 39 47],30,30,13,46,27,27,6,132,30,30,10,48
[26 47],30,30,13,46,29,29,6,134,28,28,10,46
[30],30,30,13,46,43,43,9,159,14,14,7,21
[30 33],30,30,13,46,41,41,8,157,16,16,8,23
