spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[12 16 33 56],30,30,13,46,64,63,14,1398,62,63,8,774
[12 16 33 56 64],30,30,13,46,54,53,9,1383,72,73,13,789
[12 16 33 56 64 67],30,30,13,46,52,51,8,1381,74,75,14,791
[12 16 33 56 67],30,30,13,46,56,51,8,1386,70,75,14,786
[12 16 33 64],30,30,13,46,80,79,9,1435,46,47,13,737
[12 16 33 64 67],30,30,13,46,78,77,8,1433,48,49,14,739
[12 16 33 67],30,30,13,46,82,77,8,1438,44,49,14,734
[12 16 39],30,30,13,46,68,68,17,1368,58,58,5,804
[12 16 39 47],30,30,13,46,53,53,12,1318,73,73,10,854
[12 16 39 47 50],30,30,13,46,50,50,11,1311,76,76,11,861
[12 16 39 47 50 56],30,30,13,46,46,46,11,1303,80,80,11,869
[12 16 39 47 50 56 64],30,30,13,46,42,42,9,1297,84,84,13,875
[12 16 39 47 50 56 64 67],30,30,13,46,40,40,8,1295,86,86,14,877
[12 16 39 47 50 56 67],30,30,13,46,41,40,8,1297,85,86,14,875
[12 16 39 47 50 64],30,30,13,46,46,46,9,1305,80,80,13,867
[12 16 39 47 50 64 67],30,30,13,46,44,44,8,1303,82,82,14,869
[12 16 39 47 50 67],30,30,13,46,45,44,8,1305,81,82,14,867
[12 16 39 47 56],30,30,13,46,49,49,12,1310,77,77,10,862
[12 16 39 47 56 64],30,30,13,46,43,43,9,1301,83,83,13,871
[12 16 39 47 56 64 67],30,30,13,46,41,41,8,1299,85,85,14,873
[12 16 39 47 56 67],30,30,13,46,43,41,8,1302,83,85,14,870
[12 16 39 47 64],30,30,13,46,47,47,9,1309,79,79,13,863
[12 16 39 47 64 67],30,30,13,46,45,45,8,1307,81,81,14,865
[12 16 39 47 67],30,30,13,46,47,45,8,1310,79,81,14,862
[12 16 39 50],30,30,13,46,54,50,11,1326,72,76,11,846
[12 16 39 50 56],30,30,13,46,50,46,11,1318,76,80,11,854
[12 16 39 50 56 64],30,30,13,46,46,42,9,1312,80,84,13,860
[12 16 39 50 56 64 67],30,30,13,46,44,40,8,1310,82,86,14,862
[12 16 39 50 56 67],30,30,13,46,45,40,8,1312,81,86,14,860
[12 16 39 50 64],30,30,13,46,50,46,9,1320,76,80,13,852
[12 16 39 50 64 67],30,30,13,46,48,44,8,1318,78,82,14,854
[12 16 39 50 67],30,30,13,46,49,44,8,1320,77,82,14,852
[12 16 39 56],30,30,13,46,64,64,17,1360,62,62,5,812
[12 16 39 56 64],30,30,13,46,48,48,9,1336,78,78,13,836
[12 16 39 56 64 67],30,30,13,46,46,46,8,1334,80,80,14,838
[12 16 39 56 67],30,30,13,46,53,46,8,1342,73,80,14,830
[12 16 39 64],30,30,13,46,52,52,9,1344,74,74,13,828
[12 16 39 64 67],30,30,13,46,50,50,8,1342,76,76,14,830
[12 16 39 67],30,30,13,46,57,50,8,1350,69,76,14,822
[12 16 47],30,30,13,46,86,86,12,1472,40,40,10,700
[12 16 47 50],30,30,13,46,83,83,11,1465,43,43,11,707
[12 16 47 50 56],30,30,13,46,57,57,11,1413,69,69,11,759
[12 16 47 50 56 64],30,30,13,46,53,53,9,1407,73,73,13,765
[12 16 47 50 56 64 67],30,30,13,46,51,51,8,1405,75,75,14,767
[12 16 47 50 56 67],30,30,13,46,52,51,8,1407,74,75,14,765
[12 16 47 50 64],30,30,13,46,79,79,9,1459,47,47,13,713
[12 16 47 50 64 67],30,30,13,46,77,77,8,1457,49,49,14,715
[12 16 47 50 67],30,30,13,46,78,77,8,1459,48,49,14,713
[12 16 47 56],30,30,13,46,60,60,12,1420,66,66,10,752
[12 16 47 56 64],30,30,13,46,54,54,9,1411,72,72,13,761
[12 16 47 56 64 67],30,30,13,46,52,52,8,1409,74,74,14,763
[12 16 47 56 67],30,30,13,46,54,52,8,1412,72,74,14,760
[12 16 47 64],30,30,13,46,80,80,9,1463,46,46,13,709
[12 16 47 64 67],30,30,13,46,78,78,8,1461,48,48,14,711
[12 16 47 67],30,30,13,46,80,78,8,1464,46,48,14,708
[12 16 50],30,30,13,46,87,83,11,1480,39,43,11,692
[12 16 50 56],30,30,13,46,61,57,11,1428,65,69,11,744
[12 16 50 56 64],30,30,13,46,57,53,9,1422,69,73,13,750
[12 16 50 56 64 67],30,30,13,46,55,51,8,1420,71,75,14,752
[12 16 50 56 67],30,30,13,46,56,51,8,1422,70,75,14,750
[12 16 50 64],30,30,13,46,83,79,9,1474,43,47,13,698
[12 16 50 64 67],30,30,13,46,81,77,8,1472,45,49,14,700
[12 16 50 67],30,30,13,46,82,77,8,1474,44,49,14,698
[12 16 56],30,30,13,46,75,75,17,1470,51,51,5,702
[12 16 56 64],30,30,13,46,59,59,9,1446,67,67,13,726
[12 16 56 64 67],30,30,13,46,57,57,8,1444,69,69,14,728
[12 16 56 67],30,30,13,46,64,57,8,1452,62,69,14,720
[12 16 64],30,30,13,46,85,85,9,1498,41,41,13,674
[12 16 64 67],30,30,13,46,83,83,8,1496,43,43,14,676
[12 16 67],30,30,13,46,90,83,8,1504,36,43,14,668
[12 26],30,30,13,46,70,70,18,1220,56,56,4,952
[12 26 30],30,30,13,46,58,58,15,1118,68,68,7,1054
[12 26 30 33],30,30,13,46,54,54,14,1094,72,72,8,1078
[12 26 30 33 39],30,30,13,46,48,48,14,1066,78,78,8,1106
[12 26 30 33 39 47],30,30,13,46,42,42,12,1046,84,84,10,1126
[12 26 30 33 39 47 50],30,30,13,46,39,39,11,1039,87,87,11,1133
[12 26 30 33 39 47 50 56],30,30,13,46,35,35,11,1031,91,91,11,1141
[12 26 30 33 39 47 50 56 64],30,30,13,46,31,31,9,1025,95,95,13,1147
[12 26 30 33 39 47 50 56 64 67],30,30,13,46,29,29,8,1023,97,97,14,1149
[12 26 30 33 39 47 50 56 67],30,30,13,46,30,29,8,1025,96,97,14,1147
[12 26 30 33 39 47 50 64],30,30,13,46,35,35,9,1033,91,91,13,1139
[12 26 30 33 39 47 50 64 67],30,30,13,46,33,33,8,1031,93,93,14,1141
[12 26 30 33 39 47 50 67],30,30,13,46,34,33,8,1033,92,93,14,1139
[12 26 30 33 39 47 56],30,30,13,46,38,38,12,1038,88,88,10,1134
[12 26 30 33 39 47 56 64],30,30,13,46,32,32,9,1029,94,94,13,1143
[12 26 30 33 39 47 56 64 67],30,30,13,46,30,30,8,1027,96,96,14,1145
[12 26 30 33 39 47 56 67],30,30,13,46,32,30,8,1030,94,96,14,1142
[12 26 30 33 39 47 64],30,30,13,46,36,36,9,1037,90,90,13,1135
[12 26 30 33 39 47 64 67],30,30,13,46,34,34,8,1035,92,92,14,1137
[12 26 30 33 39 47 67],30,30,13,46,36,34,8,1038,90,92,14,1134
[12 26 30 33 39 50],30,30,13,46,40,39,11,1045,86,87,11,1127
[12 26 30 33 39 50 56],30,30,13,46,36,35,11,1037,90,91,11,1135
[12 26 30 33 39 50 56 64],30,30,13,46,32,31,9,1031,94,95,13,1141
[12 26 30 33 39 50 56 64 67],30,30,13,46,30,29,8,1029,96,97,14,1143
[12 26 30 33 39 50 56 67],30,30,13,46,31,29,8,1031,95,97,14,1141
[12 26 30 33 39 50 64],30,30,13,46,36,35,9,1039,90,91,13,1133
[12 26 30 33 39 50 64 67],30,30,13,46,34,33,8,1037,92,93,14,1135
[12 26 30 33 39 50 67],30,30,13,46,35,33,8,1039,91,93,14,1133
[12 26 30 33 39 56],30,30,13,46,44,44,14,1058,82,82,8,1114
[12 26 30 33 39 56 64],30,30,13,46,34,34,9,1043,92,92,13,1129
[12 26 30 33 39 56 64 67],30,30,13,46,32,32,8,1041,94,94,14,1131
[12 26 30 33 39 56 67],30,30,13,46,36,32,8,1046,90,94,14,1126
[12 26 30 33 39 64],30,30,13,46,38,38,9,1051,88,88,13,1121
[12 26 30 33 39 64 67],30,30,13,46,36,36,8,1049,90,90,14,1123
[12 26 30 33 39 67],30,30,13,46,40,36,8,1054,86,90,14,1118
[12 26 30 33 47],30,30,13,46,48,48,12,1074,78,78,10,1098
[12 26 30 33 47 50],30,30,13,46,45,45,11,1067,81,81,11,1105
[12 26 30 33 47 50 56],30,30,13,46,37,37,11,1051,89,89,11,1121
[12 26 30 33 47 50 56 64],30,30,13,46,33,33,9,1045,93,93,13,1127
[12 26 30 33 47 50 56 64 67],30,30,13,46,31,31,8,1043,95,95,14,1129
[12 26 30 33 47 50 56 67],30,30,13,46,32,31,8,1045,94,95,14,1127
[12 26 30 33 47 50 64],30,30,13,46,41,41,9,1061,85,85,13,1111
[12 26 30 33 47 50 64 67],30,30,13,46,39,39,8,1059,87,87,14,1113
[12 26 30 33 47 50 67],30,30,13,46,40,39,8,1061,86,87,14,1111
[12 26 30 33 47 56],30,30,13,46,40,40,12,1058,86,86,10,1114
[12 26 30 33 47 56 64],30,30,13,46,34,34,9,1049,92,92,13,1123
[12 26 30 33 47 56 64 67],30,30,13,46,32,32,8,1047,94,94,14,1125
[12 26 30 33 47 56 67],30,30,13,46,34,32,8,1050,92,94,14,1122
[12 26 30 33 47 64],30,30,13,46,42,42,9,1065,84,84,13,1107
[12 26 30 33 47 64 67],30,30,13,46,40,40,8,1063,86,86,14,1109
[12 26 30 33 47 67],30,30,13,46,42,40,8,1066,84,86,14,1106
[12 26 30 33 50],30,30,13,46,46,45,11,1073,80,81,11,1099
[12 26 30 33 50 56],30,30,13,46,38,37,11,1057,88,89,11,1115
[12 26 30 33 50 56 64],30,30,13,46,34,33,9,1051,92,93,13,1121
[12 26 30 33 50 56 64 67],30,30,13,46,32,31,8,1049,94,95,14,1123
[12 26 30 33 50 56 67],30,30,13,46,33,31,8,1051,93,95,14,1121
[12 26 30 33 50 64],30,30,13,46,42,41,9,1067,84,85,13,1105
[12 26 30 33 50 64 67],30,30,13,46,40,39,8,1065,86,87,14,1107
[12 26 30 33 50 67],30,30,13,46,41,39,8,1067,85,87,14,1105
[12 26 30 33 56],30,30,13,46,46,46,14,1078,80,80,8,1094
[12 26 30 33 56 64],30,30,13,46,36,36,9,1063,90,90,13,1109
[12 26 30 33 56 64 67],30,30,13,46,34,34,8,1061,92,92,14,1111
[12 26 30 33 56 67],30,30,13,46,38,34,8,1066,88,92,14,1106
[12 26 30 33 64],30,30,13,46,44,44,9,1079,82,82,13,1093
[12 26 30 33 64 67],30,30,13,46,42,42,8,1077,84,84,14,1095
[12 26 30 33 67],30,30,13,46,46,42,8,1082,80,84,14,1090
[12 26 30 39],30,30,13,46,52,52,15,1090,74,74,7,1082
[12 26 30 39 47],30,30,13,46,43,43,12,1060,83,83,10,1112
[12 26 30 39 47 50],30,30,13,46,40,40,11,1053,86,86,11,1119
[12 26 30 39 47 50 56],30,30,13,46,36,36,11,1045,90,90,11,1127
[12 26 30 39 47 50 56 64],30,30,13,46,32,32,9,1039,94,94,13,1133
[12 26 30 39 47 50 56 64 67],30,30,13,46,30,30,8,1037,96,96,14,1135
[12 26 30 39 47 50 56 67],30,30,13,46,31,30,8,1039,95,96,14,1133
[12 26 30 39 47 50 64],30,30,13,46,36,36,9,1047,90,90,13,1125
[12 26 30 39 47 50 64 67],30,30,13,46,34,34,8,1045,92,92,14,1127
[12 26 30 39 47 50 67],30,30,13,46,35,34,8,1047,91,92,14,1125
[12 26 30 39 47 56],30,30,13,46,39,39,12,1052,87,87,10,1120
[12 26 30 39 47 56 64],30,30,13,46,33,33,9,1043,93,93,13,1129
[12 26 30 39 47 56 64 67],30,30,13,46,31,31,8,1041,95,95,14,1131
[12 26 30 39 47 56 67],30,30,13,46,33,31,8,1044,93,95,14,1128
[12 26 30 39 47 64],30,30,13,46,37,37,9,1051,89,89,13,1121
[12 26 30 39 47 64 67],30,30,13,46,35,35,8,1049,91,91,14,1123
[12 26 30 39 47 67],30,30,13,46,37,35,8,1052,89,91,14,1120
[12 26 30 39 50],30,30,13,46,42,40,11,1062,84,86,11,1110
[12 26 30 39 50 56],30,30,13,46,38,36,11,1054,88,90,11,1118
[12 26 30 39 50 56 64],30,30,13,46,34,32,9,1048,92,94,13,1124
[12 26 30 39 50 56 64 67],30,30,13,46,32,30,8,1046,94,96,14,1126
[12 26 30 39 50 56 67],30,30,13,46,33,30,8,1048,93,96,14,1124
[12 26 30 39 50 64],30,30,13,46,38,36,9,1056,88,90,13,1116
[12 26 30 39 50 64 67],30,30,13,46,36,34,8,1054,90,92,14,1118
[12 26 30 39 50 67],30,30,13,46,37,34,8,1056,89,92,14,1116
[12 26 30 39 56],30,30,13,46,48,48,15,1082,78,78,7,1090
[12 26 30 39 56 64],30,30,13,46,36,36,9,1064,90,90,13,1108
[12 26 30 39 56 64 67],30,30,13,46,34,34,8,1062,92,92,14,1110
[12 26 30 39 56 67],30,30,13,46,39,34,8,1068,87,92,14,1104
[12 26 30 39 64],30,30,13,46,40,40,9,1072,86,86,13,1100
[12 26 30 39 64 67],30,30,13,46,38,38,8,1070,88,88,14,1102
[12 26 30 39 67],30,30,13,46,43,38,8,1076,83,88,14,1096
[12 26 30 47],30,30,13,46,49,49,12,1088,77,77,10,1084
[12 26 30 47 50],30,30,13,46,46,46,11,1081,80,80,11,1091
[12 26 30 47 50 56],30,30,13,46,38,38,11,1065,88,88,11,1107
[12 26 30 47 50 56 64],30,30,13,46,34,34,9,1059,92,92,13,1113
[12 26 30 47 50 56 64 67],30,30,13,46,32,32,8,1057,94,94,14,1115
[12 26 30 47 50 56 67],30,30,13,46,33,32,8,1059,93,94,14,1113
[12 26 30 47 50 64],30,30,13,46,42,42,9,1075,84,84,13,1097
[12 26 30 47 50 64 67],30,30,13,46,40,40,8,1073,86,86,14,1099
[12 26 30 47 50 67],30,30,13,46,41,40,8,1075,85,86,14,1097
[12 26 30 47 56],30,30,13,46,41,41,12,1072,85,85,10,1100
[12 26 30 47 56 64],30,30,13,46,35,35,9,1063,91,91,13,1109
[12 26 30 47 56 64 67],30,30,13,46,33,33,8,1061,93,93,14,1111
[12 26 30 47 56 67],30,30,13,46,35,33,8,1064,91,93,14,1108
[12 26 30 47 64],30,30,13,46,43,43,9,1079,83,83,13,1093
[12 26 30 47 64 67],30,30,13,46,41,41,8,1077,85,85,14,1095
[12 26 30 47 67],30,30,13,46,43,41,8,1080,83,85,14,1092
[12 26 30 50],30,30,13,46,48,46,11,1090,78,80,11,1082
[12 26 30 50 56],30,30,13,46,40,38,11,1074,86,88,11,1098
[12 26 30 50 56 64],30,30,13,46,36,34,9,1068,90,92,13,1104
[12 26 30 50 56 64 67],30,30,13,46,34,32,8,1066,92,94,14,1106
[12 26 30 50 56 67],30,30,13,46,35,32,8,1068,91,94,14,1104
[12 26 30 50 64],30,30,13,46,44,42,9,1084,82,84,13,1088
[12 26 30 50 64 67],30,30,13,46,42,40,8,1082,84,86,14,1090
[12 26 30 50 67],30,30,13,46,43,40,8,1084,83,86,14,1088
[12 26 30 56],30,30,13,46,50,50,15,1102,76,76,7,1070
[12 26 30 56 64],30,30,13,46,38,38,9,1084,88,88,13,1088
[12 26 30 56 64 67],30,30,13,46,36,36,8,1082,90,90,14,1090
[12 26 30 56 67],30,30,13,46,41,36,8,1088,85,90,14,1084
[12 26 30 64],30,30,13,46,46,46,9,1100,80,80,13,1072
[12 26 30 64 67],30,30,13,46,44,44,8,1098,82,82,14,1074
[12 26 30 67],30,30,13,46,49,44,8,1104,77,82,14,1068
[12 26 33],30,30,13,46,56,54,14,1124,70,72,8,1048
[12 26 33 39],30,30,13,46,50,48,14,1096,76,78,8,1076
[12 26 33 39 47],30,30,13,46,44,42,12,1076,82,84,10,1096
[12 26 33 39 47 50],30,30,13,46,41,39,11,1069,85,87,11,1103
[12 26 33 39 47 50 56],30,30,13,46,37,35,11,1061,89,91,11,1111
[12 26 33 39 47 50 56 64],30,30,13,46,33,31,9,1055,93,95,13,1117
[12 26 33 39 47 50 56 64 67],30,30,13,46,31,29,8,1053,95,97,14,1119
[12 26 33 39 47 50 56 67],30,30,13,46,32,29,8,1055,94,97,14,1117
[12 26 33 39 47 50 64],30,30,13,46,37,35,9,1063,89,91,13,1109
[12 26 33 39 47 50 64 67],30,30,13,46,35,33,8,1061,91,93,14,1111
[12 26 33 39 47 50 67],30,30,13,46,36,33,8,1063,90,93,14,1109
[12 26 33 39 47 56],30,30,13,46,40,38,12,1068,86,88,10,1104
[12 26 33 39 47 56 64],30,30,13,46,34,32,9,1059,92,94,13,1113
[12 26 33 39 47 56 64 67],30,30,13,46,32,30,8,1057,94,96,14,1115
[12 26 33 39 47 56 67],30,30,13,46,34,30,8,1060,92,96,14,1112
[12 26 33 39 47 64],30,30,13,46,38,36,9,1067,88,90,13,1105
[12 26 33 39 47 64 67],30,30,13,46,36,34,8,1065,90,92,14,1107
[12 26 33 39 47 67],30,30,13,46,38,34,8,1068,88,92,14,1104
[12 26 33 39 50],30,30,13,46,42,39,11,1075,84,87,11,1097
[12 26 33 39 50 56],30,30,13,46,38,35,11,1067,88,91,11,1105
[12 26 33 39 50 56 64],30,30,13,46,34,31,9,1061,92,95,13,1111
[12 26 33 39 50 56 64 67],30,30,13,46,32,29,8,1059,94,97,14,1113
[12 26 33 39 50 56 67],30,30,13,46,33,29,8,1061,93,97,14,1111
[12 26 33 39 50 64],30,30,13,46,38,35,9,1069,88,91,13,1103
[12 26 33 39 50 64 67],30,30,13,46,36,33,8,1067,90,93,14,1105
[12 26 33 39 50 67],30,30,13,46,37,33,8,1069,89,93,14,1103
[12 26 33 39 56],30,30,13,46,46,44,14,1088,80,82,8,1084
[12 26 33 39 56 64],30,30,13,46,36,34,9,1073,90,92,13,1099
[12 26 33 39 56 64 67],30,30,13,46,34,32,8,1071,92,94,14,1101
[12 26 33 39 56 67],30,30,13,46,38,32,8,1076,88,94,14,1096
[12 26 33 39 64],30,30,13,46,40,38,9,1081,86,88,13,1091
[12 26 33 39 64 67],30,30,13,46,38,36,8,1079,88,90,14,1093
[12 26 33 39 67],30,30,13,46,42,36,8,1084,84,90,14,1088
[12 26 33 47],30,30,13,46,50,48,12,1104,76,78,10,1068
[12 26 33 47 50],30,30,13,46,47,45,11,1097,79,81,11,1075
[12 26 33 47 50 56],30,30,13,46,39,37,11,1081,87,89,11,1091
[12 26 33 47 50 56 64],30,30,13,46,35,33,9,1075,91,93,13,1097
[12 26 33 47 50 56 64 67],30,30,13,46,33,31,8,1073,93,95,14,1099
[12 26 33 47 50 56 67],30,30,13,46,34,31,8,1075,92,95,14,1097
[12 26 33 47 50 64],30,30,13,46,43,41,9,1091,83,85,13,1081
[12 26 33 47 50 64 67],30,30,13,46,41,39,8,1089,85,87,14,1083
[12 26 33 47 50 67],30,30,13,46,42,39,8,1091,84,87,14,1081
[12 26 33 47 56],30,30,13,46,42,40,12,1088,84,86,10,1084
[12 26 33 47 56 64],30,30,13,46,36,34,9,1079,90,92,13,1093
[12 26 33 47 56 64 67],30,30,13,46,34,32,8,1077,92,94,14,1095
[12 26 33 47 56 67],30,30,13,46,36,32,8,1080,90,94,14,1092
[12 26 33 47 64],30,30,13,46,44,42,9,1095,82,84,13,1077
[12 26 33 47 64 67],30,30,13,46,42,40,8,1093,84,86,14,1079
[12 26 33 47 67],30,30,13,46,44,40,8,1096,82,86,14,1076
[12 26 33 50],30,30,13,46,48,45,11,1103,78,81,11,1069
[12 26 33 50 56],30,30,13,46,40,37,11,1087,86,89,11,1085
[12 26 33 50 56 64],30,30,13,46,36,33,9,1081,90,93,13,1091
[12 26 33 50 56 64 67],30,30,13,46,34,31,8,1079,92,95,14,1093
[12 26 33 50 56 67],30,30,13,46,35,31,8,1081,91,95,14,1091
[12 26 33 50 64],30,30,13,46,44,41,9,1097,82,85,13,1075
[12 26 33 50 64 67],30,30,13,46,42,39,8,1095,84,87,14,1077
[12 26 33 50 67],30,30,13,46,43,39,8,1097,83,87,14,1075
[12 26 33 56],30,30,13,46,48,46,14,1108,78,80,8,1064
[12 26 33 56 64],30,30,13,46,38,36,9,1093,88,90,13,1079
[12 26 33 56 64 67],30,30,13,46,36,34,8,1091,90,92,14,1081
[12 26 33 56 67],30,30,13,46,40,34,8,1096,86,92,14,1076
[12 26 33 64],30,30,13,46,46,44,9,1109,80,82,13,1063
[12 26 33 64 67],30,30,13,46,44,42,8,1107,82,84,14,1065
[12 26 33 67],30,30,13,46,48,42,8,1112,78,84,14,1060
[12 26 39],30,30,13,46,64,64,18,1192,62,62,4,980
[12 26 39 47],30,30,13,46,46,46,12,1132,80,80,10,1040
[12 26 39 47 50],30,30,13,46,43,43,11,1125,83,83,11,1047
[12 26 39 47 50 56],30,30,13,46,39,39,11,1117,87,87,11,1055
[12 26 39 47 50 56 64],30,30,13,46,35,35,9,1111,91,91,13,1061
[12 26 39 47 50 56 64 67],30,30,13,46,33,33,8,1109,93,93,14,1063
[12 26 39 47 50 56 67],30,30,13,46,34,33,8,1111,92,93,14,1061
[12 26 39 47 50 64],30,30,13,46,39,39,9,1119,87,87,13,1053
[12 26 39 47 50 64 67],30,30,13,46,37,37,8,1117,89,89,14,1055
[12 26 39 47 50 67],30,30,13,46,38,37,8,1119,88,89,14,1053
[12 26 39 47 56],30,30,13,46,42,42,12,1124,84,84,10,1048
[12 26 39 47 56 64],30,30,13,46,36,36,9,1115,90,90,13,1057
[12 26 39 47 56 64 67],30,30,13,46,34,34,8,1113,92,92,14,1059
[12 26 39 47 56 67],30,30,13,46,36,34,8,1116,90,92,14,1056
[12 26 39 47 64],30,30,13,46,40,40,9,1123,86,86,13,1049
[12 26 39 47 64 67],30,30,13,46,38,38,8,1121,88,88,14,1051
[12 26 39 47 67],30,30,13,46,40,38,8,1124,86,88,14,1048
[12 26 39 50],30,30,13,46,48,43,11,1143,78,83,11,1029
[12 26 39 50 56],30,30,13,46,44,39,11,1135,82,87,11,1037
[12 26 39 50 56 64],30,30,13,46,40,35,9,1129,86,91,13,1043
[12 26 39 50 56 64 67],30,30,13,46,38,33,8,1127,88,93,14,1045
[12 26 39 50 56 67],30,30,13,46,39,33,8,1129,87,93,14,1043
[12 26 39 50 64],30,30,13,46,44,39,9,1137,82,87,13,1035
[12 26 39 50 64 67],30,30,13,46,42,37,8,1135,84,89,14,1037
[12 26 39 50 67],30,30,13,46,43,37,8,1137,83,89,14,1035
[12 26 39 56],30,30,13,46,60,60,18,1184,66,66,4,988
[12 26 39 56 64],30,30,13,46,42,42,9,1157,84,84,13,1015
[12 26 39 56 64 67],30,30,13,46,40,40,8,1155,86,86,14,1017
[12 26 39 56 67],30,30,13,46,48,40,8,1164,78,86,14,1008
[12 26 39 64],30,30,13,46,46,46,9,1165,80,80,13,1007
[12 26 39 64 67],30,30,13,46,44,44,8,1163,82,82,14,1009
[12 26 39 67],30,30,13,46,52,44,8,1172,74,82,14,1000
[12 26 47],30,30,13,46,52,52,12,1160,74,74,10,1012
[12 26 47 50],30,30,13,46,49,49,11,1153,77,77,11,1019
[12 26 47 50 56],30,30,13,46,41,41,11,1137,85,85,11,1035
[12 26 47 50 56 64],30,30,13,46,37,37,9,1131,89,89,13,1041
[12 26 47 50 56 64 67],30,30,13,46,35,35,8,1129,91,91,14,1043
[12 26 47 50 56 67],30,30,13,46,36,35,8,1131,90,91,14,1041
[12 26 47 50 64],30,30,13,46,45,45,9,1147,81,81,13,1025
[12 26 47 50 64 67],30,30,13,46,43,43,8,1145,83,83,14,1027
[12 26 47 50 67],30,30,13,46,44,43,8,1147,82,83,14,1025
[12 26 47 56],30,30,13,46,44,44,12,1144,82,82,10,1028
[12 26 47 56 64],30,30,13,46,38,38,9,1135,88,88,13,1037
[12 26 47 56 64 67],30,30,13,46,36,36,8,1133,90,90,14,1039
[12 26 47 56 67],30,30,13,46,38,36,8,1136,88,90,14,1036
[12 26 47 64],30,30,13,46,46,46,9,1151,80,80,13,1021
[12 26 47 64 67],30,30,13,46,44,44,8,1149,82,82,14,1023
[12 26 47 67],30,30,13,46,46,44,8,1152,80,82,14,1020
[12 26 50],30,30,13,46,54,49,11,1171,72,77,11,1001
[12 26 50 56],30,30,13,46,46,41,11,1155,80,85,11,1017
[12 26 50 56 64],30,30,13,46,42,37,9,1149,84,89,13,1023
[12 26 50 56 64 67],30,30,13,46,40,35,8,1147,86,91,14,1025
[12 26 50 56 67],30,30,13,46,41,35,8,1149,85,91,14,1023
[12 26 50 64],30,30,13,46,50,45,9,1165,76,81,13,1007
[12 26 50 64 67],30,30,13,46,48,43,8,1163,78,83,14,1009
[12 26 50 67],30,30,13,46,49,43,8,1165,77,83,14,1007
[12 26 56],30,30,13,46,62,62,18,1204,64,64,4,968
[12 26 56 64],30,30,13,46,44,44,9,1177,82,82,13,995
[12 26 56 64 67],30,30,13,46,42,42,8,1175,84,84,14,997
[12 26 56 67],30,30,13,46,50,42,8,1184,76,84,14,988
[12 26 64],30,30,13,46,52,52,9,1193,74,74,13,979
[12 26 64 67],30,30,13,46,50,50,8,1191,76,76,14,981
[12 26 67],30,30,13,46,58,50,8,1200,68,76,14,972
[12 30],30,30,13,46,94,94,15,1550,32,32,7,622
[12 30 33],30,30,13,46,90,90,14,1526,36,36,8,646
[12 30 33 39],30,30,13,46,57,57,14,1372,69,69,8,800
[12 30 33 39 47],30,30,13,46,51,51,12,1352,75,75,10,820
[12 30 33 39 47 50],30,30,13,46,48,48,11,1345,78,78,11,827
[12 30 33 39 47 50 56],30,30,13,46,44,44,11,1337,82,82,11,835
[12 30 33 39 47 50 56 64],30,30,13,46,40,40,9,1331,86,86,13,841
[12 30 33 39 47 50 56 64 67],30,30,13,46,38,38,8,1329,88,88,14,843
[12 30 33 39 47 50 56 67],30,30,13,46,39,38,8,1331,87,88,14,841
[12 30 33 39 47 50 64],30,30,13,46,44,44,9,1339,82,82,13,833
[12 30 33 39 47 50 64 67],30,30,13,46,42,42,8,1337,84,84,14,835
[12 30 33 39 47 50 67],30,30,13,46,43,42,8,1339,83,84,14,833
[12 30 33 39 47 56],30,30,13,46,47,47,12,1344,79,79,10,828
[12 30 33 39 47 56 64],30,30,13,46,41,41,9,1335,85,85,13,837
[12 30 33 39 47 56 64 67],30,30,13,46,39,39,8,1333,87,87,14,839
[12 30 33 39 47 56 67],30,30,13,46,41,39,8,1336,85,87,14,836
[12 30 33 39 47 64],30,30,13,46,45,45,9,1343,81,81,13,829
[12 30 33 39 47 64 67],30,30,13,46,43,43,8,1341,83,83,14,831
[12 30 33 39 47 67],30,30,13,46,45,43,8,1344,81,83,14,828
[12 30 33 39 50],30,30,13,46,49,48,11,1351,77,78,11,821
[12 30 33 39 50 56],30,30,13,46,45,44,11,1343,81,82,11,829
[12 30 33 39 50 56 64],30,30,13,46,41,40,9,1337,85,86,13,835
[12 30 33 39 50 56 64 67],30,30,13,46,39,38,8,1335,87,88,14,837
[12 30 33 39 50 56 67],30,30,13,46,40,38,8,1337,86,88,14,835
[12 30 33 39 50 64],30,30,13,46,45,44,9,1345,81,82,13,827
[12 30 33 39 50 64 67],30,30,13,46,43,42,8,1343,83,84,14,829
[12 30 33 39 50 67],30,30,13,46,44,42,8,1345,82,84,14,827
[12 30 33 39 56],30,30,13,46,53,53,14,1364,73,73,8,808
[12 30 33 39 56 64],30,30,13,46,43,43,9,1349,83,83,13,823
[12 30 33 39 56 64 67],30,30,13,46,41,41,8,1347,85,85,14,825
[12 30 33 39 56 67],30,30,13,46,45,41,8,1352,81,85,14,820
[12 30 33 39 64],30,30,13,46,47,47,9,1357,79,79,13,815
[12 30 33 39 64 67],30,30,13,46,45,45,8,1355,81,81,14,817
[12 30 33 39 67],30,30,13,46,49,45,8,1360,77,81,14,812
[12 30 33 47],30,30,13,46,84,84,12,1506,42,42,10,666
[12 30 33 47 50],30,30,13,46,81,81,11,1499,45,45,11,673
